Year,World,United States,China,Russia,Germany,India
2010,66162.663,14992.053,6087.164,1524.918,3396.354,1675.616
2011,73479.857,15542.581,7551.5,2045.926,3744.409,1823.05
2012,75172.81,16197.008,8532.23,2208.296,3527.345,1827.638
2013,77331.908,16784.849,9570.406,2292.473,3732.744,1856.722
2014,79468.865,17527.164,10475.683,2059.242,3883.921,2039.128
2015,75233.602,18238.301,11061.553,1363.481,3356.236,2103.588
2016,76417.253,18745.076,11233.277,1276.787,3467.498,2294.798
2017,81326.725,19542.979,12310.409,1574.199,3673.506,2651.473
2018,86343.514,20611.861,13894.817,1657.329,3961.832,2701.112
2019,87607.774,21433.225,14279.937,1687.449,3861.124,2870.504
2020,84705.426,20936.6,14722.731,1483.498,3806.061,2622.984
